2025-08-01 13:08:25.629286+00:00 UTC
skupper-prd-dor-skupper-router-6c9d8b4d99-dv879

Router Addresses
  class   addr                                                     distrib    pri  local  remote  in      out      thru
  local   temp.s3_rt8h28JoPn_o                                     balanced   -    1      0       1       1        0
  local   temp.s70xtf6xTtKbSvs                                     balanced   -    1      0       1       1        0
  local   temp.sAHguEXePVWB3M+                                     balanced   -    1      0       1       1        0
  local   temp.sqk1MuZwe80zLVo                                     balanced   -    1      0       1       1        0
  local   temp.tlaHveMmeVT6c1l                                     balanced   -    1      0       1       1        0
  local   temp.tnE89gIYvby2vrv                                     balanced   -    1      0       0       0        0
  local   temp.uEGekeuRbl87d3c                                     balanced   -    1      0       1       1        0
  local   temp.uEe6Yb6K1LIL3OT                                     balanced   -    1      0       1       1        0
  local   temp.uHtYSO_AvxsvMCI                                     balanced   -    1      0       1       1        0
  local   temp.umIMQiEWm8ftWML                                     balanced   -    1      0       1       1        0
  local   temp.usCWvAYwIkIsaMx                                     balanced   -    1      0       1       1        0
  local   temp.wUBTH1Y_JbxEUUX                                     balanced   -    1      0       1       1        0
  local   temp.wd5KaUQJXjVmxMa                                     balanced   -    1      0       1       1        0
  local   temp.wgqtLTuMN2CgymJ                                     balanced   -    1      0       1       1        0
  local   temp.xEczny5nnwlgHWO                                     balanced   -    1      0       1       1        0
  local   temp.xqN9wcQwVOeh_C_                                     balanced   -    1      0       0       0        0
  local   temp.ynMqt2utAPMD9+t                                     balanced   -    1      0       1       1        0
  local   temp.z4QvfFr5ZUGbI3L                                     balanced   -    1      0       1       1        0
