2025-08-01 13:08:20.350902+00:00 UTC
skupper-prd-dor-skupper-router-6c9d8b4d99-9pz67

Router Addresses
  class   addr                                                     distrib    pri  local  remote  in      out        thru
  local   temp.jO2b6FwlN7hj5Sa                                     balanced   -    1      0       0       1          0
  local   temp.jmRjFprM0aIoF0T                                     balanced   -    1      0       1       1          0
  local   temp.k3_GqTrMH81rsV+                                     balanced   -    1      0       1       1          0
  local   temp.lKjaDDSoB3O_EfS                                     balanced   -    1      0       1       1          0
  local   temp.ln2QcVPJ2u+hfrU                                     balanced   -    1      0       1       1          0
  local   temp.mLPeWkWCJE0dq5n                                     balanced   -    1      0       1       1          0
  local   temp.mcpzdnknPq3lO21                                     balanced   -    1      0       1       1          0
  local   temp.nEzjQkj4RLhJox7                                     balanced   -    1      0       1       1          0
  local   temp.nUQHMql7p4rAs9h                                     balanced   -    1      0       1       1          0
  local   temp.nXozfSOOH9rWtRi                                     balanced   -    1      0       1       1          0
  local   temp.oK12e7_Y4Szg_PI                                     balanced   -    1      0       1       1          0
  local   temp.pW6TPqzo2+tzPpw                                     balanced   -    1      0       1       1          0
  local   temp.quDARrAEHYXB7lv                                     balanced   -    1      0       1       1          0
  local   temp.r3S_NNO2BJDFnpF                                     balanced   -    1      0       1       1          0
  local   temp.rwSuwn7W6_LR3c_                                     balanced   -    1      0       1       1          0
  local   temp.sX79BcK24Id_sbE                                     balanced   -    1      0       1       1          0
  local   temp.sXI4jV9UNPjqcpP                                     balanced   -    1      0       1       1          0
  local   temp.tgFU4_i+64Xukdg                                     balanced   -    1      0       1       1          0
  local   temp.u_ukSFNY1H9ThCv                                     balanced   -    1      0       1       1          0
  local   temp.wnZ_gqggzVPTHU9                                     balanced   -    1      0       1       1          0
  local   temp.xTAmyeArade7nLU                                     balanced   -    1      0       1       1          0
  local   temp.xTH3dbgD266G8z3                                     balanced   -    1      0       1       1          0
  local   temp.yFGv3zZT4JZB4y_                                     balanced   -    1      0       1       1          0
  local   temp.yVIDNqp5lw2yxLi                                     balanced   -    1      0       1       1          0
  local   temp.yqcJlhv+7RM4g3n                                     balanced   -    1      0       1       1          0
  local   temp.yvosKzX1U8JMNMv                                     balanced   -    1      0       1       1          0
  local   temp.z8wzV9eLxbWs4oR                                     balanced   -    1      0       1       1          0
  local   temp.zdMXxCGsJqbE+Ks                                     balanced   -    1      0       1       1          0
  local   temp.zvYMl4llYoD7p+E                                     balanced   -    1      0       1       1          0
