2025-08-05 18:23:01.036751+00:00 UTC
skupper-prd-wyn-skupper-router-7f4bf489d5-d94wd

Router Addresses
  class   addr                                                     distrib    pri  local  remote  in      out      thru
  local   temp.CYaBBOGCpxcgHJY                                     balanced   -    1      0       1       1        0
  local   temp.CkCPLDdJDam3zm2                                     balanced   -    1      0       0       0        0
  local   temp.CoBEsb8yBe0dXdD                                     balanced   -    1      0       0       0        0
  local   temp.CqSNn+AhubP1qG4                                     balanced   -    1      0       0       0        0
  local   temp.CrhXW8mMG5SQW3S                                     balanced   -    1      0       0       0        0
  local   temp.CrnpVXPSaeZKiOq                                     balanced   -    1      0       1       1        0
  local   temp.D0Bf0lq7+wqC6Ca                                     balanced   -    1      0       0       0        0
  local   temp.D0wqfdGxHdurHdK                                     balanced   -    1      0       0       0        0
  local   temp.DPG+5C40fEHQllT                                     balanced   -    1      0       1       1        0
  local   temp.DPzzgYuxnf_pldY                                     balanced   -    1      0       0       0        0
  local   temp.DZhjcU_z3Ev6R6o                                     balanced   -    1      0       1       1        0
  local   temp.DZmCdVyxqTlW+rN                                     balanced   -    1      0       1       1        0
  local   temp.De6Xo2QOvm1FMJG                                     balanced   -    1      0       1       1        0
  local   temp.DliM5wYZgsIVWNz                                     balanced   -    1      0       1       1        0
  local   temp.DnBcKCqA5Zl+65f                                     balanced   -    1      0       1       1        0
  local   temp.DuUDpIrBFknSiM4                                     balanced   -    1      0       0       0        0
  local   temp.E0FP+EiV_lWXrcP                                     balanced   -    1      0       0       0        0
  local   temp.EOOyS4X9XOfGAbw                                     balanced   -    1      0       1       1        0
  local   temp.EUSNnaE_MsU7hMq                                     balanced   -    1      0       0       0        0
  local   temp.EVpXBFQH7HZk9rv                                     balanced   -    1      0       1       1        0
  local   temp.EWQ6wUsoTUGQj4K                                     balanced   -    1      0       1       1        0
  local   temp.EaFa8S2CY3ytQMS                                     balanced   -    1      0       1       1        0
  local   temp.Ec33zuw7setUMib                                     balanced   -    1      0       1       1        0
  local   temp.EdqCzTCXIgQkO9X                                     balanced   -    1      0       1       1        0
  local   temp.EhWlt78DI+fyPGU                                     balanced   -    1      0       1       1        0
  local   temp.EmMNmBIljJ3FV0Z                                     balanced   -    1      0       0       0        0
  local   temp.EosYl+H_jpfYiAM                                     balanced   -    1      0       0       0        0
  local   temp.ErGZcqjvRyYcmIx                                     balanced   -    1      0       1       1        0
  local   temp.F+IFtUuiGdK1Mgc                                     balanced   -    1      0       1       1        0
  local   temp.F1G+k95zxOmx4F9                                     balanced   -    1      0       1       1        0
  local   temp.F2sYdNaFcHdSwJV                                     balanced   -    1      0       1       1        0
  local   temp.F6OavwsyVnMADtO                                     balanced   -    1      0       1       1        0
  local   temp.FYUQnWULO6USU5z                                     balanced   -    1      0       1       1        0
  local   temp.FZufhiupBB5AnpP                                     balanced   -    1      0       1       1        0
  local   temp.FguPKWgjoOz0_6q                                     balanced   -    1      0       1       1        0
  local   temp.Fji9+vl9K7l_EyA                                     balanced   -    1      0       0       0        0
  local   temp.FuBNQbc5Nk8m593                                     balanced   -    1      0       1       1        0
  local   temp.FvIsTmwQ8iaLrbL                                     balanced   -    1      0       1       1        0
  local   temp.G28KLRAxD+JcXj2                                     balanced   -    1      0       0       0        0
  local   temp.GF5_TEcmixafRuQ                                     balanced   -    1      0       0       0        0
  local   temp.GHXLZqBfsTTGMU1                                     balanced   -    1      0       0       0        0
  local   temp.GHfnzb03Zo2i3Rr                                     balanced   -    1      0       1       1        0
  local   temp.GgFO_6JursNd0M_                                     balanced   -    1      0       0       0        0
  local   temp.GluzDiA0sCE7jSl                                     balanced   -    1      0       1       1        0
  local   temp.Go_EtiKvRpi86kH                                     balanced   -    1      0       1       1        0
  local   temp.GwXy+ubPYjPhFvW                                     balanced   -    1      0       1       1        0
  local   temp.H26ybMbgDhh7JH0                                     balanced   -    1      0       1       1        0
  local   temp.H9iQE9HlQFh10KV                                     balanced   -    1      0       0       0        0
  local   temp.HBF2w1h8bHwDRm5                                     balanced   -    1      0       1       1        0
  local   temp.HLrkOa_dmiLS9+d                                     balanced   -    1      0       1       1        0
  local   temp.HYGwQ7O8vKv54eh                                     balanced   -    1      0       0       0        0
  local   temp.HkoiaxGwDzoMeY2                                     balanced   -    1      0       0       0        0
  local   temp.HlOmGo61m0tM4SM                                     balanced   -    1      0       1       1        0
  local   temp.Htg+_dz0mq8Dv6f                                     balanced   -    1      0       1       1        0
  local   temp.I8d0Jq_3cbi47J+                                     balanced   -    1      0       1       1        0
  local   temp.I9kaVPqKRX5ZMPs                                     balanced   -    1      0       0       0        0
  local   temp.IJYnESOOhUloHbN                                     balanced   -    1      0       1       1        0
  local   temp.IJZePB4y6J_+r0g                                     balanced   -    1      0       1       1        0
  local   temp.IM2M5qEd2ydWsMh                                     balanced   -    1      0       1       1        0
  local   temp.IMEX6WW6NSrR5OS                                     balanced   -    1      0       0       0        0
  local   temp.IN2trLupJ3fJ77S                                     balanced   -    1      0       0       0        0
  local   temp.IPwBGRKzPA1Up7c                                     balanced   -    1      0       0       0        0
  local   temp.IQg1zbwYAForxZz                                     balanced   -    1      0       0       0        0
  local   temp.IaP3uKoA5OM3kkL                                     balanced   -    1      0       0       0        0
  local   temp.Ih02hFGqCJA42Sf                                     balanced   -    1      0       0       0        0
  local   temp.IotONRrMSTuXkDx                                     balanced   -    1      0       1       1        0
  local   temp.IyynOQWKI0X3jAG                                     balanced   -    1      0       1       1        0
  local   temp.IzMQ0F3zpbIkXn3                                     balanced   -    1      0       1       1        0
  local   temp.J1otOZhiiGYmEh0                                     balanced   -    1      0       0       0        0
  local   temp.JG27CUMC85P_7rx                                     balanced   -    1      0       1       1        0
  local   temp.JGaZrMYzoebPUnX                                     balanced   -    1      0       0       0        0
  local   temp.JL15NyBE8OY+FVt                                     balanced   -    1      0       1       1        0
  local   temp.JLMj3hJDIVJK_SK                                     balanced   -    1      0       1       1        0
  local   temp.JZA+fLjdgwIgrvy                                     balanced   -    1      0       1       1        0
  local   temp.JpbErhJXETzAuY9                                     balanced   -    1      0       0       0        0
  local   temp.K8HbB4fnAmIwBps                                     balanced   -    1      0       1       1        0
  local   temp.KGTI8iwWitFjNkl                                     balanced   -    1      0       0       0        0
  local   temp.KLtvX2UIjWyzTn+                                     balanced   -    1      0       1       1        0
  local   temp.KNJX0ItukPAkUsV                                     balanced   -    1      0       1       1        0
  local   temp.KNwgR6t2rihMpxI                                     balanced   -    1      0       1       1        0
  local   temp.KO3l5W9t1W0RISo                                     balanced   -    1      0       1       1        0
  local   temp.KW25HhoINdaRLwO                                     balanced   -    1      0       0       0        0
  local   temp.KZeEFi6_DZYa4Kl                                     balanced   -    1      0       0       0        0
  local   temp.KgGADN2PezOxP54                                     balanced   -    1      0       1       1        0
  local   temp.KlGKK8+msvV7CBg                                     balanced   -    1      0       0       0        0
  local   temp.KuYLpA+55z74I7T                                     balanced   -    1      0       0       0        0
  local   temp.L3Zr22zKyRfLrUp                                     balanced   -    1      0       1       1        0
  local   temp.L7S0TKFgF0zaxPO                                     balanced   -    1      0       1       1        0
  local   temp.L9fxfaPIOtlOe7w                                     balanced   -    1      0       1       1        0
  local   temp.LDkdhLWtI6tJ0_p                                     balanced   -    1      0       0       0        0
  local   temp.LLSgduHDvNk402i                                     balanced   -    1      0       1       1        0
  local   temp.LLlp9yIAy0W8IhK                                     balanced   -    1      0       1       1        0
  local   temp.LM0O_dXVUKOzK4d                                     balanced   -    1      0       0       0        0
  local   temp.LR3uehgPWr8GG7C                                     balanced   -    1      0       1       1        0
  local   temp.Lbbbq4R5bpQ3Ff2                                     balanced   -    1      0       1       1        0
  local   temp.Lbw9VDh_uuGXlR8                                     balanced   -    1      0       0       0        0
  local   temp.Lm+8KXzzpPZ1tzQ                                     balanced   -    1      0       1       1        0
  local   temp.LqpR0rEVrTuFjyE                                     balanced   -    1      0       0       0        0
  local   temp.LyWpWnvetjfDkaQ                                     balanced   -    1      0       1       1        0
  local   temp.MBBcgbBBuh7Pyrr                                     balanced   -    1      0       1       1        0
  local   temp.MFY3rmLTEd4dPhJ                                     balanced   -    1      0       0       0        0
  local   temp.MQF4H8G2myljYbT                                     balanced   -    1      0       1       1        0
  local   temp.MXbGzEcxGi4xLcV                                     balanced   -    1      0       1       1        0
  local   temp.MqNhn5OU8fsimJs                                     balanced   -    1      0       1       1        0
  local   temp.MsD_g1yCnjR9L9l                                     balanced   -    1      0       1       1        0
  local   temp.MvoWdRV1Kelfy3z                                     balanced   -    1      0       1       1        0
  local   temp.N1K3XcsENmXJxus                                     balanced   -    1      0       0       0        0
  local   temp.N8SdIKkNNuGbWco                                     balanced   -    1      0       1       1        0
  local   temp.NAykDcQ1kpT1HMA                                     balanced   -    1      0       1       1        0
  local   temp.NH0R+8BtbSCnwxu                                     balanced   -    1      0       1       1        0
  local   temp.NLE2mrxLigoVfw8                                     balanced   -    1      0       1       1        0
  local   temp.NM2TTYrpXNGSMr2                                     balanced   -    1      0       0       0        0
  local   temp.NOqgxV30cnhvlGY                                     balanced   -    1      0       1       1        0
  local   temp.NUjqi8NOv0cTdrb                                     balanced   -    1      0       0       0        0
  local   temp.Nkt0dmE2LowfThU                                     balanced   -    1      0       0       0        0
  local   temp.NzgV_QSLoQSUwWI                                     balanced   -    1      0       0       0        0
  local   temp.O8Svndd6XNMcQFU                                     balanced   -    1      0       0       0        0
  local   temp.OBUlzro46QZV3VV                                     balanced   -    1      0       1       1        0
  local   temp.ODX7wozXbEa4tV9                                     balanced   -    1      0       1       1        0
  local   temp.OFN2kZZNTJkQxol                                     balanced   -    1      0       1       1        0
  local   temp.OHfFxoKzrOxVa2R                                     balanced   -    1      0       1       1        0
  local   temp.OOUP5W8OOnBAwOR                                     balanced   -    1      0       1       1        0
  local   temp.OfZXO+SVSCHPeWp                                     balanced   -    1      0       0       0        0
  local   temp.OiOsGj7HJPuxbFi                                     balanced   -    1      0       0       0        0
  local   temp.OqlPbLZ4Hf_BHPy                                     balanced   -    1      0       0       0        0
  local   temp.OuWzCDxJFEFGJuq                                     balanced   -    1      0       0       0        0
  local   temp.OuYWBdcw+Gl9xbq                                     balanced   -    1      0       1       1        0
  local   temp.P0QZBDkD3it95xk                                     balanced   -    1      0       0       0        0
  local   temp.P8WBea2jrQB5u1Y                                     balanced   -    1      0       0       29       0
  local   temp.PCKnrkQ8k8CeA1_                                     balanced   -    1      0       1       1        0
  local   temp.PEYveKgrTR84zoL                                     balanced   -    1      0       1       1        0
  local   temp.PQkRuN_KcOb7kDm                                     balanced   -    1      0       0       0        0
  local   temp.PViR9Qt2r1BhHoW                                     balanced   -    1      0       0       0        0
  local   temp.PXLVYvAmcRlgwpC                                     balanced   -    1      0       0       0        0
  local   temp.PbH8emwwWEEw+yx                                     balanced   -    1      0       1       1        0
  local   temp.Pgl6rElY+EpVnXC                                     balanced   -    1      0       0       0        0
  local   temp.Pvw+noOzYPlcVmC                                     balanced   -    1      0       1       1        0
  local   temp.Px9+8z_aV8yFZGG                                     balanced   -    1      0       1       1        0
  local   temp.PxG+UZ5NaVytLHb                                     balanced   -    1      0       1       1        0
  local   temp.Q+zCT5LyofC9OSt                                     balanced   -    1      0       1       1        0
  local   temp.QGuCm4Zs45cL8A4                                     balanced   -    1      0       0       0        0
  local   temp.QGx5LtTJhuCI6Yx                                     balanced   -    1      0       0       0        0
  local   temp.QUJOJL7lhtFcjkD                                     balanced   -    1      0       1       1        0
  local   temp.QZaJRQtWyvK9ay+                                     balanced   -    1      0       1       1        0
  local   temp.QZsSR1iX4qks2Fc                                     balanced   -    1      0       0       0        0
  local   temp.QcDKUUY0_3iN5Yl                                     balanced   -    1      0       1       1        0
  local   temp.Qs4RpHsipf0DVKC                                     balanced   -    1      0       0       0        0
  local   temp.R3_wBuTXgnrFmC9                                     balanced   -    1      0       1       1        0
  local   temp.RRMOsWjLkhWb8ka                                     balanced   -    1      0       0       0        0
  local   temp.RTNTQpUADBI9V1p                                     balanced   -    1      0       0       0        0
  local   temp.RYH1BVuWrg0osq0                                     balanced   -    1      0       1       1        0
  local   temp.RYYIjNycq7UXyeN                                     balanced   -    1      0       1       1        0
  local   temp.R_GHxQAPz4e1lHc                                     balanced   -    1      0       0       0        0
