2025-08-05 18:24:10.927036+00:00 UTC
skupper-prd-dor-skupper-router-6c9d8b4d99-dv879

Router Addresses
  class   addr                                                     distrib    pri  local  remote  in       out        thru
  local   temp.O2jI2Q1GerV81Cx                                     balanced   -    1      0       1        1          0
  local   temp.OCO3XYp+cau2GUR                                     balanced   -    1      0       1        1          0
  local   temp.OEM_Xz+oY5I24cs                                     balanced   -    1      0       1        1          0
  local   temp.OO95pCGGDPSdisG                                     balanced   -    1      0       0        0          0
  local   temp.OxXSedDsDVs0e8d                                     balanced   -    1      0       1        1          0
  local   temp.P7ptmLHebUFCoNG                                     balanced   -    1      0       1        1          0
  local   temp.P_Z3wQIWPWnzdij                                     balanced   -    1      0       1        1          0
  local   temp.Pn+J3Ja_tq4J6__                                     balanced   -    1      0       1        1          0
  local   temp.PuGjylAxeQJqkP8                                     balanced   -    1      0       1        1          0
  local   temp.QFZ22AHO0P2kI8v                                     balanced   -    1      0       1        1          0
  local   temp.QWP0tBZmm+yEwfA                                     balanced   -    1      0       1        1          0
  local   temp.QZoG0tCBK5yDeXZ                                     balanced   -    1      0       1        1          0
  local   temp.QgHCWjkpQZa3Q1X                                     balanced   -    1      0       1        1          0
  local   temp.QnKcDFfHNzsJe6L                                     balanced   -    1      0       1        1          0
  local   temp.R9GmldgYrvQeZC3                                     balanced   -    1      0       1        1          0
  local   temp.RPObC18dnJnDezT                                     balanced   -    1      0       1        1          0
  local   temp.RSU+u0FxConVxDC                                     balanced   -    1      0       1        1          0
  local   temp.RZsrQTI8D7zvlwD                                     balanced   -    1      0       1        1          0
  local   temp.Rb1+XSdUTXwcElf                                     balanced   -    1      0       1        1          0
  local   temp.RnTcyFK3iduZca7                                     balanced   -    1      0       1        1          0
  local   temp.RpUt5yO0uHKo4m4                                     balanced   -    1      0       1        1          0
  local   temp.Rp_F7jsHG5lF3zp                                     balanced   -    1      0       1        1          0
  local   temp.RvFA_u8N6ZZum0_                                     balanced   -    1      0       1        1          0
  local   temp.SFpF3U5jvHnoKuY                                     balanced   -    1      0       1        1          0
  local   temp.SIn5kKhXiJVKeQA                                     balanced   -    1      0       1        1          0
  local   temp.ScAoZG5wMzcvOUK                                     balanced   -    1      0       1        1          0
  local   temp.T5mckaaGBudlF1q                                     balanced   -    1      0       1        1          0
  local   temp.TFzfI8oRX_gEv1C                                     balanced   -    1      0       1        1          0
  local   temp.TnRObbcdEo5HFje                                     balanced   -    1      0       1        1          0
  local   temp.TneQuCne8PGVBnY                                     balanced   -    1      0       1        1          0
  local   temp.ULWRCN+z1L6_6eA                                     balanced   -    1      0       1        1          0
  local   temp.UU9VVaHmL0owcrv                                     balanced   -    1      0       1        1          0
  local   temp.V0pFY8g_8ikw+tQ                                     balanced   -    1      0       1        1          0
  local   temp.VTFUYwUV0p5lvZz                                     balanced   -    1      0       1        1          0
  local   temp.VjlceLXaEGF4Uqd                                     balanced   -    1      0       1        1          0
  local   temp.VrzcnyUHayFRngn                                     balanced   -    1      0       1        1          0
  local   temp.VxsLSyXeGcRZUfW                                     balanced   -    1      0       1        1          0
  local   temp.W+AsebJez0goygI                                     balanced   -    1      0       1        1          0
  local   temp.W+XW0U9ZnQpPeKT                                     balanced   -    1      0       1        1          0
  local   temp.WEQhL8zff3_puC2                                     balanced   -    1      0       1        1          0
  local   temp.WhFwf_vMalXke3l                                     balanced   -    1      0       1        1          0
  local   temp.XBY_AeW87wv3R0N                                     balanced   -    1      0       1        1          0
  local   temp.XCR3wbQ8Y6bWWZ0                                     balanced   -    1      0       1        1          0
  local   temp.Y0hGn5R5FuEYSBl                                     balanced   -    1      0       1        1          0
  local   temp.YUKHFk+06rMTJy3                                     balanced   -    1      0       1        1          0
  local   temp.YZbJn+wNwz5vMcI                                     balanced   -    1      0       1        1          0
  local   temp.Z9jEzh9G4ZUmYdz                                     balanced   -    1      0       1        1          0
  local   temp.ZCwPDWy7OTsKbW8                                     balanced   -    1      0       1        1          0
  local   temp.ZSaSRUquJlX2Vze                                     balanced   -    1      0       1        1          0
  local   temp.ZUAbkBBnoqI9QBa                                     balanced   -    1      0       1        1          0
  local   temp.Znae5id8TnwIlJu                                     balanced   -    1      0       1        1          0
  local   temp.ZyI0Rcgrcy5o2sQ                                     balanced   -    1      0       1        1          0
  local   temp.Zyd88dk20F3agjv                                     balanced   -    1      0       1        1          0
  local   temp._3iqFCQwVrd9Ij9                                     balanced   -    1      0       0        1          0
  local   temp._Ka+2RAcn1w_baU                                     balanced   -    1      0       1        1          0
  local   temp._N2RFvjEbvPxmYa                                     balanced   -    1      0       1        1          0
  local   temp._QBptxNktIyLwpY                                     balanced   -    1      0       1        1          0
  local   temp._nVZpMyaPDEgR7f                                     balanced   -    1      0       1        1          0
  local   temp.a4XRy+h5dYUl1lh                                     balanced   -    1      0       1        1          0
  local   temp.aRbSCN8yA299Qax                                     balanced   -    1      0       1        1          0
  local   temp.ao+lCRBd44DkmKP                                     balanced   -    1      0       1        1          0
  local   temp.bBPdEphCWaSctJX                                     balanced   -    1      0       1        1          0
  local   temp.bmUUue6rzGavfNe                                     balanced   -    1      0       1        1          0
  local   temp.cFOGg0HnUYbIFqx                                     balanced   -    1      0       1        1          0
  local   temp.cpO9N6EnqL8dP2a                                     balanced   -    1      0       1        1          0
  local   temp.cu4mJs8jNdxJM0n                                     balanced   -    1      0       1        1          0
  local   temp.cuZ9ONYvCxi6LyS                                     balanced   -    1      0       1        1          0
  local   temp.dN+am0H0dbB0oS3                                     balanced   -    1      0       1        1          0
  local   temp.dPMov_CvEBAXhSc                                     balanced   -    1      0       1        1          0
  local   temp.dq4T8KDWV_lQlCe                                     balanced   -    1      0       1        1          0
  local   temp.e2Te2AEGIAHdhmj                                     balanced   -    1      0       1        1          0
  local   temp.eFtgVVfkv2H8sTY                                     balanced   -    1      0       1        1          0
  local   temp.eJqVI4mqsyBNc7s                                     balanced   -    1      0       1        1          0
  local   temp.eQl2OxEMUgiae2N                                     balanced   -    1      0       1        1          0
  local   temp.eYEAZxmomowmyvG                                     balanced   -    1      0       1        1          0
  local   temp.e_jZpoBgLLglmtc                                     balanced   -    1      0       1        1          0
  local   temp.ea6n82XP9kHI3D3                                     balanced   -    1      0       1        1          0
